"filename", "language", "Dart", "Markdown", "YAML", "C++", "CMake", "HTML", "Swift", "JSON", "XML", "Gradle", "Java Properties", "comment", "blank", "total"
"d:\uber\flutter-clean-architecture-uber\lib\core\translations\app_lang.dart", "Dart", -26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -33
"d:\uber\flutter-clean-architecture-uber\lib\core\translations\langs\ar.dart", "Dart", -135, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -136
"d:\uber\flutter-clean-architecture-uber\lib\core\translations\langs\en.dart", "Dart", -140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -2, -143
"d:\uber\flutter-clean-architecture-uber\lib\core\translations\local_storage\local_storage.dart", "Dart", -9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -12
"d:\uber\flutter-clean-architecture-uber\lib\core\translations\translations.dart", "Dart", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -9
"d:\uber\flutter-clean-architecture-uber\lib\core\use_case\use_case.dart", "Dart", -23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -29
"d:\uber\flutter-clean-architecture-uber\lib\core\utility\app_prefs.dart", "Dart", -13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -20
"d:\uber\flutter-clean-architecture-uber\lib\core\utility\constant.dart", "Dart", -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"d:\uber\flutter-clean-architecture-uber\lib\core\utility\injector.dart", "Dart", -43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -15, -72
"d:\uber\flutter-clean-architecture-uber\lib\core\widgets\multi_bloc_provider.dart", "Dart", -20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -24
"d:\uber\flutter-clean-architecture-uber\lib\data\data_sources\firebase_auth.dart", "Dart", -40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -51
"d:\uber\flutter-clean-architecture-uber\lib\data\data_sources\firebase_user_info.dart", "Dart", -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -26
"d:\uber\flutter-clean-architecture-uber\lib\data\models\personal_info.dart", "Dart", -30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -33
"d:\uber\flutter-clean-architecture-uber\lib\data\repositories_impl\firebase_auth_repo_impl.dart", "Dart", -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -32
"d:\uber\flutter-clean-architecture-uber\lib\data\repositories_impl\personal_info_repo_impl.dart", "Dart", -21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -24
"d:\uber\flutter-clean-architecture-uber\lib\domain\entities\registered_user.dart", "Dart", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7
"d:\uber\flutter-clean-architecture-uber\lib\domain\repositories\auth_repository.dart", "Dart", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -6
"d:\uber\flutter-clean-architecture-uber\lib\domain\repositories\personal_info_repository.dart", "Dart", -5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -2, -7
"d:\uber\flutter-clean-architecture-uber\lib\domain\use_cases\auth\log_out.dart", "Dart", -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -14
"d:\uber\flutter-clean-architecture-uber\lib\domain\use_cases\auth\submit_otp.dart", "Dart", -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -14
"d:\uber\flutter-clean-architecture-uber\lib\domain\use_cases\auth\submit_phone_umber.dart", "Dart", -10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -14
"d:\uber\flutter-clean-architecture-uber\lib\domain\use_cases\personal_info\create_new_user.dart", "Dart", -11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -15
