"filename", "language", "YAML", "Markdown", "C++", "Swift", "JSON", "Dart", "XML", "HTML", "Groovy", "Properties", "comment", "blank", "total"
"d:\flutter_projects\main\flutter-full-uber-clone\lib\core\functions\toast_show.dart", "Dart", 0, 0, 0, 0, 0, 33, 0, 0, 0, 0, 0, 5, 38
"d:\flutter_projects\main\flutter-full-uber-clone\lib\core\my_app.dart", "Dart", 0, 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 5, 60
"d:\flutter_projects\main\flutter-full-uber-clone\lib\core\resources\assets_manager.dart", "Dart", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"d:\flutter_projects\main\flutter-full-uber-clone\lib\core\resources\color_manager.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 12, 47
"d:\flutter_projects\main\flutter-full-uber-clone\lib\core\resources\font_manager.dart", "Dart", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 11, 45
"d:\flutter_projects\main\flutter-full-uber-clone\lib\core\resources\strings_manager.dart", "Dart", 0, 0, 0, 0, 0, 141, 0, 0, 0, 0, 1, 42, 184
"d:\flutter_projects\main\flutter-full-uber-clone\lib\core\resources\styles_manager.dart", "Dart", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 8, 59
"d:\flutter_projects\main\flutter-full-uber-clone\lib\core\resources\values_manager.dart", "Dart", 0, 0, 0, 0, 0, 65, 0, 0, 0, 0, 0, 7, 72
"d:\flutter_projects\main\flutter-full-uber-clone\lib\core\translations\app_lang.dart", "Dart", 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 0, 7, 33
"d:\flutter_projects\main\flutter-full-uber-clone\lib\core\translations\langs\ar.dart", "Dart", 0, 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 1, 136
"d:\flutter_projects\main\flutter-full-uber-clone\lib\core\translations\langs\en.dart", "Dart", 0, 0, 0, 0, 0, 140, 0, 0, 0, 0, 1, 2, 143
"d:\flutter_projects\main\flutter-full-uber-clone\lib\core\translations\local_storage\local_storage.dart", "Dart", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 3, 12
"d:\flutter_projects\main\flutter-full-uber-clone\lib\core\translations\translations.dart", "Dart", 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"d:\flutter_projects\main\flutter-full-uber-clone\lib\core\utility\app_prefs.dart", "Dart", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 7, 19
"d:\flutter_projects\main\flutter-full-uber-clone\lib\core\utility\constant.dart", "Dart", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"d:\flutter_projects\main\flutter-full-uber-clone\lib\core\utility\injector.dart", "Dart", 0, 0, 0, 0, 0, 59, 0, 0, 0, 0, 16, 20, 95
"d:\flutter_projects\main\flutter-full-uber-clone\lib\core\widgets\multi_bloc_provider.dart", "Dart", 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 4, 28
"d:\flutter_projects\main\flutter-full-uber-clone\lib\data\data_sources\remote\api\google_map_apis.dart", "Dart", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 4, 27
"d:\flutter_projects\main\flutter-full-uber-clone\lib\data\data_sources\remote\api\google_map_apis.g.dart", "Dart", 0, 0, 0, 0, 0, 83, 0, 0, 0, 0, 5, 10, 98
"d:\flutter_projects\main\flutter-full-uber-clone\lib\data\data_sources\remote\api\google_map_apis_manual.dart", "Dart", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 3, 29
"d:\flutter_projects\main\flutter-full-uber-clone\lib\data\data_sources\remote\firebase\firebase_auth.dart", "Dart", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 11, 51
"d:\flutter_projects\main\flutter-full-uber-clone\lib\data\data_sources\remote\firebase\firebase_user_info.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 4, 23
"d:\flutter_projects\main\flutter-full-uber-clone\lib\data\models\personal_info.dart", "Dart", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 3, 33
"d:\flutter_projects\main\flutter-full-uber-clone\lib\data\models\place_location_info\place_location_info.dart", "Dart", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 1, 22, 72
"d:\flutter_projects\main\flutter-full-uber-clone\lib\data\models\place_location_info\place_location_info.g.dart", "Dart", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 4, 13, 77
"d:\flutter_projects\main\flutter-full-uber-clone\lib\data\models\place_suggestion\places_suggestions.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 12, 53
"d:\flutter_projects\main\flutter-full-uber-clone\lib\data\models\place_suggestion\places_suggestions.g.dart", "Dart", 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 4, 9, 57
"d:\flutter_projects\main\flutter-full-uber-clone\lib\data\models\places_direction\places_direction.dart", "Dart", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 8, 45
"d:\flutter_projects\main\flutter-full-uber-clone\lib\data\repositories_impl\firebase_auth_repo_impl.dart", "Dart", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 4, 32
"d:\flutter_projects\main\flutter-full-uber-clone\lib\data\repositories_impl\google_map_apis_repo_impl.dart", "Dart", 0, 0, 0, 0, 0, 54, 0, 0, 0, 0, 0, 8, 62
"d:\flutter_projects\main\flutter-full-uber-clone\lib\data\repositories_impl\personal_info_repo_impl.dart", "Dart", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"d:\flutter_projects\main\flutter-full-uber-clone\lib\domain\entities\registered_user.dart", "Dart", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"d:\flutter_projects\main\flutter-full-uber-clone\lib\domain\repositories\auth_repository.dart", "Dart", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\flutter_projects\main\flutter-full-uber-clone\lib\domain\repositories\google_map_apis_repo.dart", "Dart", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"d:\flutter_projects\main\flutter-full-uber-clone\lib\domain\repositories\personal_info_repository.dart", "Dart", 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 2, 7
"d:\flutter_projects\main\flutter-full-uber-clone\lib\main.dart", "Dart", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 5, 29
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\common\widgets\custom_circulars_progress.dart", "Dart", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 7, 48
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\common\widgets\custom_elevated_button.dart", "Dart", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 4, 41
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\common\widgets\custom_google_map.dart", "Dart", 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 1, 10, 126
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\common\widgets\custom_outlined_button.dart", "Dart", 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 4, 35
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\common\widgets\text_field\custom_text_field.dart", "Dart", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 3, 50
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\common\widgets\text_field\mobile_phone_text_field.dart", "Dart", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 5, 40
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\cubit\firebaseAuthCubit\firebase_auth_cubit.dart", "Dart", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 7, 46
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\cubit\firebaseAuthCubit\firebase_auth_state.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 10, 29
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\cubit\google_map_cubit\places_suggestions_cubit.dart", "Dart", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 9, 57
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\cubit\google_map_cubit\result_state.dart", "Dart", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 8, 26
"d:\flutter_projects\main\flutter-full-uber-clone\lib\presentation\cubit\google_map_cubit\result_state.freezed.dart", "Dart", 0, 0, 0, 0, 0, 916, 0, 0, 0, 0, 31, 112, 1059
